"","id","gap_size","gap_proprotion","e_ndvi","e_elev","e_prec","e_area","e_edge","e_earatio","d_ndvi","d_elev","d_prec","d_area","d_edge","d_earatio","gap_size_km","e_ndvi_r","e_elev_km","e_prec_m","e_area_km","e_edge_km","e_earatio_km","d_ndvi_r","d_elev_km","d_prec_m","d_area_km","d_edge_km","d_earatio_km","g_edge","g_edge_km","long","lat","ess_id","ess_id2","ess_id3","X","Y","pop_density","elev","e_area_h","d_area_h","gap_size_h10","pop_density_catch_100","pop_density_catch_100_2","elev_km","d_ndvi_r_10"
"1",1608,63.382,0.010472356,355.037,2212.714,1269.558,6052.315,374.086,0.061808746,356.089,2212.714,1269.558,5988.933,404.623,0.067561784,6.34e-05,355.037,2.212714,1.269558,0.006052315,0.374086,61.80874591,356.089,2.212714,1.269558,0.005988933,0.404623,67.56178438,30.547,0.030547,425156.5046,1215492.795,NA,NA,NA,425159.438,1215495.163,87.36692,2215,0.6052315,0.5988933,0.063382,3.52598393440238,12.4325627056637,2.215,3.56089
"2",1711,72.458,0.004619924,225.019,1874.059,1341.312,15683.807,532.608,0.033959102,225.327,1874.059,1341.312,15611.349,563.523,0.036097009,7.25e-05,225.019,1.874059,1.341312,0.015683807,0.532608,33.95910189,225.327,1.874059,1.341312,0.015611349,0.563523,36.09700866,30.923,0.030923,387845.5863,1117885.663,NA,NA,NA,387853.0486,1117886.093,81.74723,1855,1.5683807,1.5611349,0.072458,3.2991825700379,10.8846056304419,1.855,2.25327
"3",1704,94.147,0.00916433,344.877,2183.818,1260.133,10273.201,418.609,0.04074767,345.55,2183.8,1260.133,10179.054,453.696,0.044571529,9.41e-05,344.877,2.183818,1.260133,0.010273201,0.418609,40.74766959,345.55,2.1838,1.260133,0.010179054,0.453696,44.57152895,35.095,0.035095,379882.6442,1115267.443,NA,NA,NA,379878.1365,1115265.121,80.21282,2192,1.0273201,1.0179054,0.094147,3.23725632828889,10.4798285350465,2.192,3.4555
"5",1695,107.185,0.008238612,266.014,2039.462,1220.703,13010.08,548.548,0.042163307,266.591,2039.167,1220.729,12902.895,585.972,0.045413994,0.000107185,266.014,2.039462,1.220703,0.01301008,0.548548,42.16330722,266.591,2.039167,1.220703,0.012902895,0.585972,45.4139943,37.43,0.03743,359042.9662,1104452.635,22,NA,NA,359043.1783,1104463.402,160.97667,2026,1.301008,1.2902895,0.107185,6.49675131312393,42.2077776245775,2.026,2.66591
"6",1888,15.475,0.002002779,272.164,1900.556,1198.039,7726.765,712.316,0.092188128,272.164,1900.556,1198.039,7711.29,712.5,0.092396992,1.55e-05,272.164,1.900556,1.198039,0.007726765,0.712316,92.18812789,272.164,1.900556,1.198039,0.00771129,0.7125,92.39699194,37.624,0.037624,368604.2651,1236550.082,NA,NA,NA,368601.6158,1236551.147,60.96045,1909,0.7726765,0.771129,0.015475,2.4602626180932,6.05289214998681,1.909,2.72164
"8",1689,123.992,0.009845335,252.056,1812.933,1279.667,12593.985,497.851,0.039530855,252.678,1812.933,1279.667,12469.993,538.077,0.043149744,0.000123992,252.056,1.812933,1.279667,0.012593985,0.497851,39.5308554,252.678,1.812933,1.279667,0.012469993,0.538077,43.14974355,40.233,0.040233,364458.5827,1096731.201,NA,NA,NA,364460.2998,1096733.351,103.34458,1849,1.2593985,1.2469993,0.123992,4.17081578230709,17.3957042899419,1.849,2.52678
"9",935,129.351,0.024627806,232.81,2179,1271.527,5252.234,269.409,0.051294173,235.07,2179,1271.527,5122.883,310.305,0.060572338,0.000129351,232.81,2.179,1.271527,0.005252234,0.269409,51.29417311,235.07,2.179,1.271527,0.005122883,0.310305,60.57233788,40.903,0.040903,363315.9731,1221927.034,NA,NA,NA,363315.5266,1221927.046,88.74894,2186,0.5252234,0.5122883,0.129351,3.58175996859269,12.8290044726131,2.186,2.3507
"10",1708,124.665,0.010667195,282.328,1825.583,1295.12,11686.765,543.566,0.046511246,282.73,1825.583,1295.12,11562.1,584.754,0.050575069,0.000124665,282.328,1.825583,1.29512,0.011686765,0.543566,46.51124584,282.73,1.825583,1.29512,0.0115621,0.584754,50.57506854,41.198,0.041198,390614.7773,1117150.043,NA,NA,NA,390615.6177,1117158.698,75.25007,1846,1.1686765,1.15621,0.124665,3.03696797234759,9.22317446506504,1.846,2.8273
"11",2008,108.895,0.013801466,258.87,1991.667,997.298,7890.104,336.715,0.04267561,260.996,1991.667,997.298,7781.209,379.264,0.048741012,0.000108895,258.87,1.991667,0.997298,0.007890104,0.336715,42.67560985,260.996,1.991667,0.997298,0.007781209,0.379264,48.74101184,42.564,0.042564,437969.1376,1141958.824,NA,NA,NA,437968.9611,1141957.032,73.58744,1977,0.7890104,0.7781209,0.108895,2.96986698413769,8.82010990347109,1.977,2.60996
"12",2291,140.93,0.011841437,448.021,2327.538,1307.931,11901.427,430.575,0.036178435,448.679,2327.538,1307.931,11760.497,474.14,0.040316323,0.00014093,448.021,2.327538,1.307931,0.011901427,0.430575,36.17843474,448.679,2.327538,1.307931,0.011760497,0.47414,40.31632337,43.576,0.043576,393793.0702,1217104.099,NA,NA,NA,393791.2101,1217105.008,99.72882,2304,1.1901427,1.1760497,0.14093,4.02488970787692,16.1997371605736,2.304,4.48679
"13",1381,146.274,0.016039018,320.901,2022.6,1312.018,9119.885,591.716,0.064881958,322.399,2022.6,1312.018,8973.611,635.435,0.070811516,0.000146274,320.901,2.0226,1.312018,0.009119885,0.591716,64.88195849,322.399,2.0226,1.312018,0.008973611,0.635435,70.81151612,43.732,0.043732,411943.4147,1215524.904,NA,NA,NA,411931.006,1215516.196,77.87392,1995,0.9119885,0.8973611,0.146274,3.14286220492763,9.87758283916256,1.995,3.22399
"14",366,127.861,0.017741069,145.026,1851,1166.873,7207.063,530.031,0.073543273,145.439,1849.778,1166.948,7079.202,574.012,0.08108428,0.000127861,145.026,1.851,1.166873,0.007207063,0.530031,73.54327276,145.439,1.849778,1.166873,0.007079202,0.574012,81.0842804,43.994,0.043994,409877.8615,1220828.011,NA,NA,NA,409879.9149,1220808.465,77.49698,1853,0.7207063,0.7079202,0.127861,3.12764953193614,9.78219159462036,1.853,1.45439
