X,Y,id
235407.4115,1269961.237,1
317739.577,1246357.778,10
388893.3502,1163108.764,100
385986.8196,1325361.415,1000
413878.7013,1340653.218,1001
390747.0723,1330097.11,1002
429864.5867,1289891.471,1003
413162.1914,1339015.559,1004
409485.452,1336880.072,1005
407302.3766,1337281.574,1006
411714.4819,1349366.897,1007
411653.5019,1339843.449,1008
412479.7825,1337157.09,1009
396424.0554,1181944.845,101
452338.0864,1272616.32,1010
411054.1981,1347186.131,1011
431007.5905,1291285.288,1012
400601.8693,1304929.525,1013
416044.732,1342618.93,1014
455122.7015,1283121.565,1015
410002.5588,1347411.985,1016
447183.6552,1276331.892,1017
442049.8825,1277643.063,1018
413547.3619,1267690.878,1019
388644.514,1200646.057,102
450872.5202,1273478.513,1020
443850.0729,1278575.701,1021
413026.3605,1269906.408,1022
421805.4889,1279121.975,1023
441216.761,1272029.015,1024
437736.0708,1275595.185,1025
436088.3575,1270041.257,1026
451200.7108,1299198.005,1027
431995.1006,1271462.106,1028
391661.7655,1294337.551,1029
375584.1138,1240020.525,103
419477.0781,1317667.863,1030
424955.3902,1283207.073,1031
417312.5581,1347915.715,1032
426288.845,1279040.655,1033
419214.8094,1312840.454,1034
423971.2134,1284457.006,1035
424765.7126,1280485.47,1036
425990.7415,1280743.569,1037
414927.0653,1307710.197,1038
424471.0406,1329002.142,1039
387502.2458,1131774.562,104
420472.1599,1309095.773,1040
423066.9438,1283037.749,1041
417491.3595,1350540.752,1042
403003.9521,1345463.681,1043
407508.7089,1350618.526,1044
453061.7892,1297064.165,1045
415785.6683,1346195.306,1046
436522.8295,1325805.918,1047
425680.7874,1326568.198,1048
415984.3026,1317719.657,1049
402131.4722,1219972.789,105
418448.3165,1353404.568,1050
421884.3029,1333819.78,1051
428435.3513,1335196.131,1052
438146.6847,1320995.334,1053
429577.7417,1335679.12,1054
419314.0932,1346118.942,1055
423587.4037,1346056.308,1056
422918.2884,1340747.652,1057
418944.8661,1337120.214,1058
450621.9638,1292055.258,1059
404849.9934,1220244.08,106
453731.7087,1279928.471,1060
397513.256,1333845.524,1061
396004.4702,1336232.802,1062
453311.3796,1279149.788,1063
451829.3202,1287343.67,1064
450407.75,1281627.467,1065
455836.3771,1281020.816,1066
452964.2656,1284684.643,1067
393920.3637,1332184.65,1068
434991.2637,1287523.393,1069
405279.4639,1213220.744,107
398859.9794,1338488.153,1070
386199.0708,1317344.935,1071
396123.5522,1341433.367,1072
394463.6928,1341738.972,1073
388104.3396,1294260.446,1074
383313.5438,1297705.895,1075
436389.3933,1286276.972,1076
390935.4969,1334271.159,1077
439595.9677,1283855.709,1078
459388.4831,1263660.625,1079
439614.438,1148057.729,108
433759.112,1286314.764,1080
376812.3467,1352768.78,1081
443472.0299,1283755.356,1082
442513.5282,1281255.824,1083
453642.5632,1324545.743,1084
435494.0764,1288204.318,1085
457283.6906,1266990.231,1086
458475.5907,1279103.909,1087
463004.7668,1269182.105,1088
462340.2977,1268606.961,1089
406039.2032,1146743.962,109
430722.802,1343225.207,1090
458283.7567,1270342.254,1091
458248.9678,1272435.731,1092
458879.7749,1274707.796,1093
442697.377,1336713.585,1094
434449.4275,1340624.953,1095
456801.0663,1325540.253,1096
420666.9813,1358284.143,1097
452296.4691,1322299.103,1098
447949.5711,1331652.731,1099
331930.804,1273591.066,11
398893.9179,1146340.489,110
431703.3662,1341022.1,1100
404322.4876,1354964.271,1101
419893.1898,1350826.453,1102
420613.253,1352160.554,1103
371007.7995,1354282.478,1104
403681.7111,1350965.394,1105
400354.3997,1351339.908,1106
383812.7504,1351816.952,1107
375292.1584,1350176.021,1108
398462.296,1346878.748,1109
399037.5107,1146021.975,111
393593.3875,1345939.449,1110
374186.1989,1351930.974,1111
262959.9223,1270739.846,1112
366822.4751,1171014.168,1113
379622.2234,1350423.984,1114
389056.3665,1346173.861,1115
384601.1793,1344255.579,1116
391729.9988,1347247.211,1117
380501.6436,1348056.724,1118
372644.1768,1345091.3,1119
409639.3124,1143550.249,112
395424.1431,1347235.683,1120
384671.0618,1342706.668,1121
428081.7144,1343762.605,1122
325141.023,1275762.594,1123
434107.0873,1346751.834,1124
422672.9402,1348111.291,1125
426055.1715,1347836.399,1126
430054.8835,1351427.962,1127
376143.3341,1343836.177,1128
376463.7718,1344731.388,1129
425261.389,1142501.429,113
437435.0462,1349133.655,1130
387590.7178,1339717.283,1131
396761.5884,1339534.529,1132
379553.148,1326241.914,1133
425985.7342,1351641.384,1134
378429.9419,1329935.846,1135
406126.3054,1353826.144,1136
407819.9844,1352883.228,1137
393880.7508,1351128.8,1138
378749.7548,1322722.258,1139
384098.1395,1138563.424,114
379891.9219,1354187.239,1140
387886.8423,1336142.286,1141
383146.1666,1329411.188,1142
384918.8264,1329668.836,1143
391744.0916,1353539.73,1144
402161.3488,1352659.437,1145
369358.8618,1356038.578,1146
444280.4222,1205239.629,1147
326657.3035,1270134.683,1148
361917.6973,1362056.508,1149
428300.4193,1135889.522,115
411405.0163,1356400.89,1150
385905.7332,1357695.336,1151
367913.2401,1358478.421,1152
362688.6334,1338343.193,1153
361224.5425,1335926.67,1154
422251.7709,1363133.928,1155
415411.3621,1359466.986,1156
417755.3749,1361738.566,1157
354710.2255,1341275.721,1158
268050.3795,1296891.311,1159
373592.4357,1133288.161,116
264090.2216,1293649.482,1160
231120.591,1270476.652,1161
281600.8011,1287121.718,1162
264453.2761,1292518.601,1163
249018.7406,1289497.419,1164
