id,gap_size,gap_proprotion,e_ndvi,e_elev,e_prec,e_area,e_edge,e_earatio,d_ndvi,d_elev,d_prec,d_area,d_edge,d_earatio,gap_size_km,e_ndvi_r,e_elev_km,e_prec_m,e_area_km,e_edge_km,e_earatio_km,d_ndvi_r,d_elev_km,d_prec_m,d_area_km,d_edge_km,d_earatio_km,g_edge,g_edge_km,long,lat
1608,63.382,0.010472356,355.037,2212.714,1269.558,6052.315,374.086,0.061808746,356.089,2212.714,1269.558,5988.933,404.623,0.067561784,6.34E-05,0.355037,2.212714,1.269558,0.006052315,0.374086,61.80874591,0.356089,2.212714,1.269558,0.005988933,0.404623,67.56178438,30.547,0.030547,425156.5046,1215492.795
1711,72.458,0.004619924,225.019,1874.059,1341.312,15683.807,532.608,0.033959102,225.327,1874.059,1341.312,15611.349,563.523,0.036097009,7.25E-05,0.225019,1.874059,1.341312,0.015683807,0.532608,33.95910189,0.225327,1.874059,1.341312,0.015611349,0.563523,36.09700866,30.923,0.030923,387845.5863,1117885.663
1704,94.147,0.00916433,344.877,2183.818,1260.133,10273.201,418.609,0.04074767,345.55,2183.8,1260.133,10179.054,453.696,0.044571529,9.41E-05,0.344877,2.183818,1.260133,0.010273201,0.418609,40.74766959,0.34555,2.1838,1.260133,0.010179054,0.453696,44.57152895,35.095,0.035095,379882.6442,1115267.443
556,106.044,0.021089056,218.561,2195.4,1445.236,5028.39,457.081,0.090900069,219.736,2195.4,1445.236,4922.346,494.379,0.100435646,0.000106044,0.218561,2.1954,1.445236,0.00502839,0.457081,90.90006941,0.219736,2.1954,1.445236,0.004922346,0.494379,100.4356459,37.301,0.037301,342786.9679,1250711.179
1695,107.185,0.008238612,266.014,2039.462,1220.703,13010.08,548.548,0.042163307,266.591,2039.167,1220.729,12902.895,585.972,0.045413994,0.000107185,0.266014,2.039462,1.220703,0.01301008,0.548548,42.16330722,0.266591,2.039167,1.220729,0.012902895,0.585972,45.4139943,37.43,0.03743,359042.9662,1104452.635
1888,15.475,0.002002779,272.164,1900.556,1198.039,7726.765,712.316,0.092188128,272.164,1900.556,1198.039,7711.29,712.5,0.092396992,1.55E-05,0.272164,1.900556,1.198039,0.007726765,0.712316,92.18812789,0.272164,1.900556,1.198039,0.00771129,0.7125,92.39699194,37.624,0.037624,368604.2651,1236550.082
2771,110.929,0.094834374,170.8,1781.015,1241.878,1169.713,140.892,0.120450059,170.872,1781.226,1241.878,1058.784,178.876,0.168944752,0.000110929,0.1708,1.781015,1.241878,0.001169713,0.140892,120.4500591,0.170872,1.781226,1.241878,0.001058784,0.178876,168.9447517,37.993,0.037993,392799.4715,1248654.674
1689,123.992,0.009845335,252.056,1812.933,1279.667,12593.985,497.851,0.039530855,252.678,1812.933,1279.667,12469.993,538.077,0.043149744,0.000123992,0.252056,1.812933,1.279667,0.012593985,0.497851,39.5308554,0.252678,1.812933,1.279667,0.012469993,0.538077,43.14974355,40.233,0.040233,364458.5827,1096731.201
935,129.351,0.024627806,232.81,2179,1271.527,5252.234,269.409,0.051294173,235.07,2179,1271.527,5122.883,310.305,0.060572338,0.000129351,0.23281,2.179,1.271527,0.005252234,0.269409,51.29417311,0.23507,2.179,1.271527,0.005122883,0.310305,60.57233788,40.903,0.040903,363315.9731,1221927.034
1708,124.665,0.010667195,282.328,1825.583,1295.12,11686.765,543.566,0.046511246,282.73,1825.583,1295.12,11562.1,584.754,0.050575069,0.000124665,0.282328,1.825583,1.29512,0.011686765,0.543566,46.51124584,0.28273,1.825583,1.29512,0.0115621,0.584754,50.57506854,41.198,0.041198,390614.7773,1117150.043
2008,108.895,0.013801466,258.87,1991.667,997.298,7890.104,336.715,0.04267561,260.996,1991.667,997.298,7781.209,379.264,0.048741012,0.000108895,0.25887,1.991667,0.997298,0.007890104,0.336715,42.67560985,0.260996,1.991667,0.997298,0.007781209,0.379264,48.74101184,42.564,0.042564,437969.1376,1141958.824
2291,140.93,0.011841437,448.021,2327.538,1307.931,11901.427,430.575,0.036178435,448.679,2327.538,1307.931,11760.497,474.14,0.040316323,0.00014093,0.448021,2.327538,1.307931,0.011901427,0.430575,36.17843474,0.448679,2.327538,1.307931,0.011760497,0.47414,40.31632337,43.576,0.043576,393793.0702,1217104.099
1381,146.274,0.016039018,320.901,2022.6,1312.018,9119.885,591.716,0.064881958,322.399,2022.6,1312.018,8973.611,635.435,0.070811516,0.000146274,0.320901,2.0226,1.312018,0.009119885,0.591716,64.88195849,0.322399,2.0226,1.312018,0.008973611,0.635435,70.81151612,43.732,0.043732,411943.4147,1215524.904
366,127.861,0.017741069,145.026,1851,1166.873,7207.063,530.031,0.073543273,145.439,1849.778,1166.948,7079.202,574.012,0.08108428,0.000127861,0.145026,1.851,1.166873,0.007207063,0.530031,73.54327276,0.145439,1.849778,1.166948,0.007079202,0.574012,81.0842804,43.994,0.043994,409877.8615,1220828.011
2243,147.235,0.009397322,426.945,2713.765,1122.55,15667.762,481.686,0.030743765,430.302,2713.25,1122.55,15520.527,525.731,0.03387327,0.000147235,0.426945,2.713765,1.12255,0.015667762,0.481686,30.74376545,0.430302,2.71325,1.12255,0.015520527,0.525731,33.8732699,44.054,0.044054,377231.6918,1356125.969
1316,143.372,0.021341093,166.594,1516.889,1248.416,6718.119,329.538,0.049052123,168.201,1516.889,1248.416,6574.747,373.712,0.056840514,0.000143372,0.166594,1.516889,1.248416,0.006718119,0.329538,49.05212307,0.168201,1.516889,1.248416,0.006574747,0.373712,56.84051417,44.185,0.044185,393921.0685,1111086.783
2366,150.922,0.023990351,341.728,2306.571,1298.506,6290.946,340.837,0.054178974,344.629,2306.571,1298.506,6140.024,385.334,0.062757735,0.000150922,0.341728,2.306571,1.298506,0.006290946,0.340837,54.17897404,0.344629,2.306571,1.298506,0.006140024,0.385334,62.75773515,44.51,0.04451,405857.787,1191639.253
1707,114.001,0.007238326,215.355,1857,1341.312,15749.637,515.592,0.032736755,216.453,1857,1341.312,15635.636,560.355,0.035838325,0.000114001,0.215355,1.857,1.341312,0.015749637,0.515592,32.7367545,0.216453,1.857,1.341312,0.015635636,0.560355,35.83832471,44.774,0.044774,387594.1922,1116362.664
945,157.353,0.02475512,155.375,1774.8,1168.77,6356.382,601.39,0.094611998,155.889,1774.8,1168.77,6199.029,646.453,0.104282945,0.000157353,0.155375,1.7748,1.16877,0.006356382,0.60139,94.61199783,0.155889,1.7748,1.16877,0.006199029,0.646453,104.282945,45.075,0.045075,399718.5706,1229689.928
1615,134.552,0.010948044,377.61,2303.538,1226.571,12290.049,536.107,0.043621226,379.521,2303.538,1226.571,12155.497,581.484,0.047837123,0.000134552,0.37761,2.303538,1.226571,0.012290049,0.536107,43.62122559,0.379521,2.303538,1.226571,0.012155497,0.581484,47.83712258,45.392,0.045392,428779.0078,1208749.162
